Rank,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
897,HCH,Hot Chili Ltd,$0.03,0.002,7.41%,$67.97 M,-19.41%
"1,380",HCT,Holista Colltech Ltd,$0.08,-0.013,-14.13%,$21.75 M,23.44%
622,HE8,Helios Energy Ltd,$0.10,0,0.00%,$154.34 M,-39.39%
"1,391",HEUR,Betashares Europe ETF-Currency Hedged,$10.61,-0.24,-2.21%,$21.28 M,-17.69%
595,HFR,Highfield Resources Ltd,$0.50,0,0.00%,$164.76 M,-45.36%
317,HGH,Heartland Group Holdings Ltd,$1.11,0,0.00%,$644.89 M,-26.00%
"1,345",HGL,Hudson Investment Group Ltd,$0.40,0,0.00%,$23.74 M,-22.33%
"1,997",HGM,High Grade Metals Ltd,$0.01,0,0.00%,$3.62 M,14.29%
"1,370",HGO,Hillgrove Resources Ltd,$0.04,0.001,2.70%,$22.25 M,-49.33%
"1,798",HHM,Hampton Hill Mining NL,$0.03,0,0.00%,$7.37 M,47.06%
"1,993",HHY,HHY Fund,$0.05,0,0.00%,$3.65 M,8.29%
"1,138",HIL,Hills Ltd,$0.17,-0.005,-2.94%,$38.28 M,-13.16%
"1,729",HIP,Hipo Resources Ltd,$0.02,0,0.00%,$8.85 M,122.22%
984,HIT,Hitech Group Australia Ltd,$1.44,0,0.00%,$54.60 M,34.74%
"1,227",HJPN,Betashares Japan ETF-Currency Hedged,$12.19,-0.09,-0.73%,$31.77 M,3.57%
945,HLA,Healthia Ltd,$0.94,-0.01,-1.05%,$59.25 M,3.30%
484,HLO,Helloworld Travel Ltd,$2.12,-0.08,-3.64%,$264.41 M,-55.37%
155,HLS,Healius Ltd,$3.06,0,0.00%,$1.91 B,-1.29%
"1,774",HLX,HELIX Resources Ltd,$0.02,0.002,15.39%,$7.94 M,4.27%
286,HM1,Hearts and Minds Investments Ltd,$3.26,0.03,0.93%,$733.50 M,10.10%
304,HMC,Home Consortium,$2.80,-0.03,-1.06%,$690.27 M,-25.33%
"1,762",HMD,Heramed Ltd,$0.09,-0.003,-3.19%,$8.17 M,-56.67%
"1,338",HMX,Hammer Metals Ltd,$0.04,-0.002,-4.55%,$24.31 M,82.61%
"1,723",HNG,HGL Ltd,$0.12,0,0.00%,$9.07 M,-67.35%
"1,631",HNR,Hannans Ltd,$0.01,0,0.00%,$11.93 M,-40.00%
"2,079",HOR,Horseshoe Metals Ltd,$0.01,0,0.00%,$2.46 M,9.09%
371,HPI,Hotel Property Investments,$2.87,0.02,0.70%,$450.72 M,-18.93%
"1,678",HPR,High Peak Royalties Ltd,$0.05,0,0.00%,$10.20 M,-28.00%
"2,136",HQLT,Betashares Global Quality Leaders ETF Currency Hedged,$20.52,0.04,0.20%,$1.54 M,1.84%
"1,032",HRL,HRL Holdings Ltd,$0.10,0,0.00%,$48.35 M,-18.33%
"1,139",HRN,Horizon Gold Ltd,$0.50,0.005,1.01%,$38.27 M,233.33%
"1,444",HRR,Heron Resources Ltd,$0.04,-0.004,-8.33%,$18.86 M,-90.43%
898,HRZ,Horizon Minerals Ltd,$0.15,-0.005,-3.23%,$67.95 M,25.00%
"1,791",HSC,Homestay Care Ltd,$0.01,0,0.00%,$7.54 M,-66.90%
332,HSN,Hansen Technologies Ltd,$2.90,-0.01,-0.34%,$574.87 M,-31.12%
446,HT1,HT&E Ltd,$1.15,-0.005,-0.43%,$321.82 M,-35.93%
"1,824",HT8,Harris Technology Group Ltd,$0.04,-0.001,-2.78%,$6.75 M,191.67%
139,HTA,Hutchison Telecommunications (Australia) Ltd,$0.17,-0.005,-2.86%,$2.31 B,47.83%
701,HTG,Harvest Technology Group Ltd,$0.27,0.015,5.88%,$120.29 M,1025.00%
298,HUB,HUB24 Ltd,$11.24,0.17,1.54%,$706.39 M,-5.55%
472,HUO,Huon Aquaculture Group Ltd,$3.16,0,0.00%,$276.64 M,-33.47%
"1,203",HVM,Happy Valley Nutrition Ltd,$0.20,0,0.00%,$33.45 M,30.00%
96,HVN,Harvey Norman Holdings Ltd,$3.52,-0.03,-0.85%,$4.39 B,-13.51%
671,HVST,Betashares Australian Dividend Harvester Fund (Managed Fund),$13.15,-0.07,-0.53%,$128.54 M,-18.02%
"1,758",HWH,Houston We Have Ltd,$0.03,0,0.00%,$8.25 M,113.33%
"1,458",HWK,Hawkstone Mining Ltd,$0.02,0.001,6.25%,$18.09 M,-15.00%
"1,504",HXG,Hexagon Energy Materials Ltd,$0.06,0.001,1.85%,$16.08 M,-47.62%
"1,771",HYD,HYDRIX Ltd,$0.10,-0.005,-4.76%,$7.96 M,-61.54%
830,HZN,Horizon Oil Ltd,$0.06,0,0.00%,$82.02 M,-47.50%
"1,008",HZR,HAZER Group Ltd,$0.37,-0.005,-1.33%,$50.42 M,29.83%
334,IAA,Ishares Asia 50 ETF,$99.66,-0.64,-0.64%,$565.16 M,13.90%
212,IAF,Ishares Core Composite Bond ETF,$115.85,0.12,0.10%,$1.22 B,1.76%
31,IAG,Insurance Australia Group Ltd,$5.54,-0.05,-0.89%,$12.80 B,-35.05%
"2,110",IAM,Intiger Group Ltd,$0.00,0,0.00%,$1.94 M,0.00%
280,IAP,Investec Australia Property Fund,$1.25,0.025,2.04%,$764.12 M,-16.11%
981,IBC,Ironbark Capital Ltd,$0.45,0.005,1.14%,$54.81 M,-9.18%
"1,756",IBG,Ironbark ZINC Ltd,$0.01,0,0.00%,$8.28 M,-43.75%
"1,212",IBX,Imagion Biosystems Ltd,$0.04,0,0.00%,$32.76 M,130.17%
"1,633",ICE,Icetana Ltd,$0.12,-0.005,-4.17%,$11.81 M,-39.47%
"1,765",ICG,Inca Minerals Ltd,$0.00,0,0.00%,$8.13 M,-28.57%
"1,853",ICI,Icandy Interactive Ltd,$0.02,0,0.00%,$6.25 M,-60.47%
"1,863",ICN,Icon Energy Ltd,$0.01,0,0.00%,$5.98 M,-37.50%
"1,681",ICOR,Ishares Core Corporate Bond ETF,$101.28,0.11,0.11%,$10.13 M,1.23%
700,ICQ,Icar Asia Ltd,$0.28,-0.005,-1.75%,$120.57 M,27.27%
"1,548",ICR,Intelicare Holdings Ltd,$0.39,-0.005,-1.28%,$14.29 M,22.22%
"1,466",ICS,Icsglobal Ltd,$1.68,-0.035,-2.04%,$17.68 M,66.34%
"1,441",ICT,Icollege Ltd,$0.04,0,0.00%,$18.96 M,-50.69%
"1,903",ICU,Isentric Ltd,$0.03,-0.006,-18.75%,$5.30 M,271.43%
"1,867",ID8,Identitii Ltd,$0.10,0.004,4.17%,$5.91 M,-75.00%
"1,669",IDA,Indiana Resources Ltd,$0.05,0,0.00%,$10.42 M,100.00%
"1,109",IDT,IDT Australia Ltd,$0.17,0,0.00%,$40.68 M,0.00%
283,IDX,Integral Diagnostics Ltd,$3.85,0.02,0.52%,$749.53 M,29.38%
"2,125",IDZ,Indoor Skydive Australia Group Ltd,$0.01,0,0.00%,$1.68 M,-66.58%
"2,010",IEC,Intra Energy Corporation Ltd,$0.01,-0.004,-30.77%,$3.49 M,-35.71%
98,IEL,Idp Education Ltd,$14.91,-0.57,-3.68%,$4.15 B,-20.99%
295,IEM,Ishares MSCI Emerging Markets ETF,$62.05,-0.68,-1.08%,$711.96 M,0.29%
"1,949",IEQ,International Equities Corporation Ltd,$0.04,0,0.00%,$4.49 M,0.00%
351,IEU,Ishares Europe ETF,$58.78,-0.93,-1.56%,$523.76 M,-6.99%
169,IFL,IOOF Holdings Ltd,$4.95,-0.14,-2.75%,$1.74 B,-10.49%
312,IFM,Infomedia Ltd,$1.82,0.01,0.55%,$681.51 M,3.70%
258,IFN,Infigen Energy,$0.92,0,0.00%,$893.04 M,100.00%
542,IFRA,Vaneck Vectors Ftse Global Infrastructure (Hedged) ETF,$18.32,-0.37,-1.98%,$207.11 M,-15.85%
106,IFT,Infratil Ltd,$4.62,0.1,2.21%,$3.35 B,1.76%
832,IGB,Ishares Treasury ETF,$113.47,0.25,0.22%,$82.00 M,1.16%
"1,190",IGE,Integrated Green Energy Solutions Ltd,$0.13,0,0.00%,$34.33 M,-29.73%
712,IGL,Ive Group Ltd,$0.79,-0.025,-3.09%,$116.34 M,-62.08%
"2,107",IGN,Ignite Ltd,$0.02,0.007,46.67%,$1.97 M,-51.11%
115,IGO,IGO Ltd,$4.85,-0.1,-2.02%,$2.87 B,-2.61%
469,IHCB,Ishares Core Global Corporate Bond(Aud Hedged) ETF,$112.90,0.7,0.62%,$284.73 M,3.38%
473,IHD,Ishares S&P/ASX Dividend Opportunities ETF,$12.07,-0.23,-1.87%,$276.63 M,-16.06%
"1,247",IHEB,Ishares J.P. Morgan Usd Emerging Markets (Aud Hedged) ETF,$98.27,-1.69,-1.69%,$30.51 M,-7.06%
988,IHHY,Ishares Global High Yield Bond (Aud Hedged) ETF,$97.75,-0.72,-0.73%,$53.99 M,-8.39%
998,IHL,Incannex Healthcare Ltd,$0.07,0.004,6.06%,$52.75 M,32.08%
821,IHOO,Ishares Global 100 Aud Hedged ETF,$119.53,-1.56,-1.29%,$83.14 M,3.89%
"1,674",IHR,Intellihr Ltd,$0.05,0,0.00%,$10.25 M,-32.05%
354,IHVV,Ishares S&P 500 Aud Hedged ETF,$373.33,-5,-1.32%,$509.88 M,-0.56%
865,IHWL,Ishares Core MSCI World All Cap (Aud Hedged) ETF,$33.69,-0.46,-1.35%,$74.16 M,-2.94%
"1,388",IIND,Betashares India Quality ETF,$7.75,-0.02,-0.26%,$21.39 M,-2.88%
682,IJH,Ishares S&P Mid-Cap ETF,$249.19,-3.49,-1.38%,$125.24 M,-10.75%
479,IJP,Ishares MSCI Japan ETF,$79.82,0.78,0.99%,$269.63 M,0.63%
614,IJR,Ishares S&P Small-Cap ETF,$93.88,-2.2,-2.29%,$156.17 M,-16.13%
899,IKE,Ikegps Group Ltd,$0.66,0,0.00%,$67.52 M,26.92%
835,IKO,Ishares MSCI South Korea ETF,$83.41,-1.39,-1.64%,$81.24 M,0.31%
"1,764",IKW,Ikwezi Mining Ltd,$0.00,0,0.00%,$8.13 M,100.00%
649,ILB,Ishares Government Inflation ETF,$128.07,0.23,0.18%,$140.13 M,2.29%
450,ILC,Ishares S&P/ASX 20 ETF,$22.80,-0.24,-1.04%,$312.89 M,-13.37%
102,ILU,Iluka Resources Ltd,$8.74,-0.06,-0.68%,$3.70 B,-17.31%
600,IMA,Image Resources NL,$0.17,-0.005,-2.94%,$161.86 M,-40.00%
"1,067",IMC,Immuron Ltd,$0.25,0.015,6.38%,$44.57 M,127.27%
379,IMD,IMDEX Ltd,$1.10,0,0.00%,$424.92 M,-8.75%
"1,404",IME,Imexhs Ltd,$0.03,-0.001,-3.13%,$20.53 M,-49.18%
859,IMM,Immutep Ltd,$0.16,0,0.00%,$75.58 M,-32.61%
"2,123",IMPQ,Einvest Future Impact Small Caps Fund (Managed Fund),$4.29,-0.11,-2.50%,$1.71 M,8.61%
617,IMR,"Imricor Medical Systems, Inc",$1.58,0,0.00%,$155.99 M,8.97%
"1,882",IMS,Impelus Ltd,$0.01,0,0.00%,$5.62 M,-12.50%
635,IMU,Imugene Ltd,$0.03,0,0.00%,$146.88 M,126.67%
192,INA,Ingenia Communities Group,$4.39,0,0.00%,$1.43 B,34.67%
"1,540",INCM,Betashares Global Income Leaders ETF,$11.63,-0.3,-2.52%,$14.84 M,-27.31%
"1,435",INES,Intelligent Investor Ethical Share Fund (Managed Fund),$2.66,0,0.00%,$19.10 M,6.40%
"1,430",INF,Infinity Lithium Corporation Ltd,$0.08,-0.002,-2.38%,$19.58 M,17.14%
204,ING,Inghams Group Ltd,$3.52,-0.01,-0.28%,$1.31 B,-14.15%
"1,305",INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund),$2.09,0,0.00%,$25.94 M,-13.64%
"1,408",INP,Incentiapay Ltd,$0.03,0.001,3.33%,$20.33 M,-13.89%
530,INR,Ioneer Ltd,$0.13,-0.005,-3.70%,$218.62 M,-18.75%
"1,673",INV,Investsmart Group Ltd,$0.08,0,0.00%,$10.26 M,15.39%
808,IOD,Iodm Ltd,$0.16,-0.005,-3.13%,$86.72 M,96.20%
165,IOO,Ishares Global 100 ETF,$77.56,-0.31,-0.40%,$1.78 B,8.86%
142,IOZ,Ishares Core S&P/ASX 200 ETF,$24.53,0.19,0.78%,$2.20 B,-10.47%
"1,782",IP1,Integrated Payment Technologies Ltd,$0.02,0,0.00%,$7.72 M,9.56%
"2,087",IPB,IPB Petroleum Ltd,$0.01,0,0.00%,$2.31 M,-69.70%
"2,030",IPC,Imperial Pacific Ltd,$1.04,0,0.00%,$3.21 M,-5.46%
890,IPD,Impedimed Ltd,$0.07,-0.002,-2.90%,$69.34 M,-46.58%
175,IPH,IPH Ltd,$7.75,0.2,2.65%,$1.66 B,-2.88%
104,IPL,Incitec Pivot Ltd,$1.85,-0.025,-1.33%,$3.59 B,-42.55%
"1,321",IPT,Impact Minerals Ltd,$0.02,0.001,6.67%,$24.95 M,166.67%
"1,571",IQ3,IQ3CORP Ltd,$0.13,0,0.00%,$13.51 M,-50.00%
"1,000",IRD,Iron Road Ltd,$0.08,0,0.00%,$52.03 M,33.93%
150,IRE,Iress Ltd,$10.73,-0.14,-1.29%,$2.07 B,-24.38%
308,IRI,Integrated Research Ltd,$4.00,0.03,0.76%,$687.44 M,17.65%
"1,414",IS3,I Synergy Group Ltd,$0.11,0,0.00%,$20.16 M,-57.69%
"1,145",ISD,Isentia Group Ltd,$0.19,0.005,2.70%,$38.00 M,-22.45%
565,ISEC,Ishares Enhanced Cash ETF,$100.41,-0.02,-0.02%,$189.12 M,-0.04%
782,ISO,Ishares S&P/ASX Small Ordinaries ETF,$4.48,-0.07,-1.54%,$94.97 M,-10.58%
"1,078",ISU,Iselect Ltd,$0.20,0,0.00%,$43.57 M,-71.01%
218,ISX,Isignthis Ltd,$1.07,0,0.00%,$1.17 B,45.58%
732,ITG,Intega Group Ltd,$0.25,-0.005,-2.00%,$109.09 M,-48.96%
187,IVC,Invocare Ltd,$10.30,0,0.00%,$1.48 B,-38.10%
421,IVE,Ishares MSCI Eafe ETF,$88.32,-1.83,-2.03%,$351.26 M,-6.85%
"1,986",IVO,Invigor Group Ltd,$0.03,0,0.00%,$3.80 M,-68.75%
"1,184",IVQ,Invitrocue Ltd,$0.06,0,0.00%,$34.71 M,-7.69%
"1,447",IVR,Investigator Resources Ltd,$0.02,-0.002,-8.33%,$18.60 M,83.33%
"2,055",IVT,Inventis Ltd,$0.00,0,0.00%,$2.81 M,-40.00%
111,IVV,Ishares S&P 500 ETF,$451.79,-2.29,-0.50%,$3.15 B,4.61%
933,IVX,Invion Ltd,$0.01,0.001,10.00%,$60.51 M,-26.67%
"1,595",IVZ,Invictus Energy Ltd,$0.03,0.001,3.70%,$12.93 M,-28.21%
719,IWLD,Ishares Core MSCI World All Cap ETF,$35.36,-0.18,-0.51%,$114.92 M,-1.45%
920,IXC,INVEX Therapeutics Ltd,$1.18,0,0.00%,$63.82 M,-14.49%
659,IXI,Ishares Global Consumer Staples ETF,$74.58,-0.77,-1.02%,$133.19 M,-3.19%
310,IXJ,Ishares Global Healthcare ETF,$99.17,-0.6,-0.60%,$687.14 M,11.08%
"1,424",IXR,Ionic Rare EARTHS Ltd,$0.01,0,0.00%,$19.79 M,100.00%
"1,953",IXU,Ixup Ltd,$0.02,0.004,25.00%,$4.46 M,-69.47%
"1,684",IYLD,Ishares Yield Plus ETF,$100.74,0.19,0.19%,$10.07 M,0.42%
749,IZZ,Ishares China Large-Cap ETF,$63.86,-1.38,-2.12%,$105.10 M,5.24%
"1,107",JAL,Jameson Resources Ltd,$0.16,-0.015,-8.82%,$40.88 M,-27.91%
857,JAN,Janison Education Group Ltd,$0.36,-0.013,-3.47%,$75.89 M,20.67%
"1,201",JAT,Jatenergy Ltd,$0.03,-0.002,-5.56%,$33.58 M,-37.98%
"1,462",JAY,Jayride Group Ltd,$0.17,-0.005,-2.86%,$17.87 M,-41.38%
85,JBH,JB Hi-Fi Ltd,$42.40,-0.26,-0.61%,$4.87 B,49.98%
"1,303",JCI,Jiancheng International Group Ltd,$0.41,0,0.00%,$26.01 M,0.00%
"1,667",JCS,Jcurve Solutions Ltd,$0.03,0,0.00%,$10.49 M,3.23%
"1,690",JDR,Jadar Resources Ltd,$0.02,0.001,5.56%,$9.97 M,137.50%
664,JHC,Japara Healthcare Ltd,$0.50,0.005,1.02%,$132.29 M,-54.17%
232,JHG,Janus Henderson Group Plc,$29.10,-1.5,-4.90%,$1.04 B,-10.49%
"1,957",JHL,JAYEX Healthcare Ltd,$0.03,0,0.00%,$4.41 M,-51.92%
35,JHX,James Hardie Industries Plc,$26.38,-0.33,-1.24%,$11.69 B,41.07%
299,JIN,Jumbo Interactive Ltd,$11.26,-0.3,-2.60%,$702.89 M,-43.92%
"2,019",JJF,Jiajiafu Modern Agriculture Ltd,$0.04,0,0.00%,$3.41 M,0.00%
"2,088",JKA,Jacka Resources Ltd,$0.00,0,0.00%,$2.30 M,0.00%
349,JLG,Johns LYNG Group Ltd,$2.37,0.03,1.28%,$527.68 M,63.45%
338,JMS,Jupiter Mines Ltd,$0.29,0.01,3.64%,$558.31 M,-18.57%
"2,106",JPR,Jupiter Energy Ltd,$0.01,0,0.00%,$1.99 M,0.00%
"1,591",JRL,Jindalee Resources Ltd,$0.34,-0.005,-1.45%,$13.21 M,-10.53%
744,JRV,Jervois Mining Ltd,$0.17,0,0.00%,$105.97 M,-21.43%
"1,962",JXT,Jaxsta Ltd,$0.03,-0.003,-10.00%,$4.33 M,-88.75%
"1,215",JYC,Joyce Corporation Ltd,$1.16,0.02,1.75%,$32.60 M,-26.58%
"1,427",K2F,K2FLY Ltd,$0.22,-0.005,-2.27%,$19.68 M,34.38%
996,KAI,Kairos Minerals Ltd,$0.04,-0.005,-10.87%,$53.09 M,174.45%
"1,670",KAM,K2 Asset Management Holdings Ltd,$0.04,0,0.00%,$10.37 M,-20.37%
452,KAR,Karoon Energy Ltd,$0.57,-0.04,-6.61%,$312.44 M,-38.86%
"2,158",KAS,Kasbah Resources Ltd,$0.01,0.001,14.29%,$1.08 M,-82.22%
"1,222",KAT,Katana Capital Ltd,$0.84,0,0.00%,$32.15 M,12.00%
"1,713",KAU,Kaiser Reef Ltd,$0.38,-0.02,-5.00%,$9.37 M,52.00%
"1,605",KBC,Keybridge Capital Ltd,$0.07,0,0.00%,$12.72 M,-4.05%
791,KCN,Kingsgate Consolidated Ltd,$0.41,-0.015,-3.53%,$92.75 M,60.78%
"1,776",KEY,KEY Petroleum Ltd,$0.00,0.001,33.33%,$7.87 M,0.00%
"1,354",KFE,Kogi Iron Ltd,$0.03,-0.002,-6.25%,$23.20 M,-58.33%
"2,093",KGD,Kula Gold Ltd,$0.04,0,0.00%,$2.18 M,270.00%
997,KGL,KGL Resources Ltd,$0.17,-0.015,-8.11%,$53.01 M,-29.85%
"1,766",KGM,Kalnorth Gold Mines Ltd,$0.01,0,0.00%,$8.05 M,0.00%
164,KGN,Kogan.com Ltd,$17.29,0.41,2.43%,$1.79 B,226.84%
842,KIN,KIN Mining NL,$0.13,-0.015,-10.71%,$78.71 M,129.66%
"1,542",KIS,King Island Scheelite Ltd,$0.06,-0.004,-6.67%,$14.81 M,-33.33%
294,KKC,KKR Credit Income Fund,$1.93,0.03,1.58%,$714.10 M,-22.18%
"1,999",KKL,Kollakorn Corporation Ltd,$0.02,0,0.00%,$3.61 M,15.39%
"1,144",KKO,Kinetiko Energy Ltd,$0.07,-0.005,-6.67%,$38.03 M,250.00%
904,KLA,Kirkland Lake Gold Ltd,$66.20,-1.26,-1.87%,$66.20 M,8.88%
672,KLL,Kalium Lakes Ltd,$0.16,-0.01,-5.88%,$128.36 M,-72.30%
"1,250",KLO,Kingsland Global Ltd,$0.08,0,0.00%,$30.38 M,-8.54%
"1,902",KLR,Kaili Resources Ltd,$0.04,0,0.00%,$5.31 M,0.00%
278,KMD,Kathmandu Holdings Ltd,$1.08,-0.04,-3.57%,$765.72 M,-25.45%
992,KME,Kip Mcgrath Education Centres Ltd,$1.04,0.045,4.55%,$53.63 M,-5.05%
"1,916",KMT,Kopore Metals Ltd,$0.01,-0.001,-11.11%,$5.14 M,-11.11%
"2,185",KNH,Koon Holdings Ltd,$0.07,0,0.00%,$186.53 TH,0.00%
"1,657",KNM,Kneomedia Ltd,$0.01,-0.001,-7.69%,$10.88 M,-66.67%
"1,682",KNO,Knosys Ltd,$0.07,0,0.00%,$10.12 M,-9.33%
"2,024",KOR,Korab Resources Ltd,$0.01,0,0.00%,$3.32 M,-64.29%
"1,059",KOV,Korvest Ltd,$4.00,0,0.00%,$45.09 M,43.37%
"1,975",KP2,Kore Potash Plc,$0.02,0,0.00%,$4.08 M,-37.50%
"1,117",KPC,Kazakhstan Potash Corporation Ltd,$0.02,0,0.00%,$39.88 M,0.00%
"1,583",KPE,Kina Petroleum Corporation,$1.05,0,0.00%,$13.33 M,-25.00%
"1,083",KPG,Kelly Partners Group Holdings Ltd,$0.95,-0.005,-0.52%,$43.13 M,-3.06%
"1,371",KPO,Kalina Power Ltd,$0.03,-0.002,-6.90%,$22.15 M,17.39%
"1,046",KPT,Kangaroo Island Plantation Timbers Ltd,$0.83,0.005,0.61%,$46.86 M,-63.11%
"1,210",KRM,Kingsrose Mining Ltd,$0.05,-0.005,-10.00%,$32.85 M,28.57%
"1,115",KRR,King River Resources Ltd,$0.03,-0.001,-3.03%,$39.96 M,-5.88%
"1,803",KRS,Kresta Holdings Ltd,$0.05,0,0.00%,$7.21 M,0.00%
628,KSC,K & S Corporation Ltd,$1.18,-0.045,-3.67%,$151.97 M,-35.52%
580,KSL,Kina Securities Ltd,$1.01,-0.005,-0.50%,$175.62 M,-22.09%
"1,785",KSM,K2 Australian Small Cap Fund (Hedge Fund),$1.89,0,0.00%,$7.64 M,-11.27%
959,KSN,Kingston Resources Ltd,$0.27,0.015,6.00%,$57.52 M,103.85%
"1,373",KSS,Kleos Space S.A,$0.31,-0.05,-13.89%,$22.03 M,-20.51%
"1,378",KTA,Krakatoa Resources Ltd,$0.10,0,0.00%,$21.88 M,426.32%
"1,051",KTD,Keytone Dairy Corporation Ltd,$0.26,0,0.00%,$46.31 M,-46.32%
"1,966",KTE,K2 Energy Ltd,$0.01,0.003,27.27%,$4.21 M,75.00%
"1,312",KTG,K-Tig Ltd,$0.25,-0.01,-3.92%,$25.33 M,6025.00%
"1,538",KWR,Kingwest Resources Ltd,$0.14,-0.005,-3.57%,$14.87 M,-15.63%
"1,286",KYK,KYCKR Ltd,$0.08,-0.001,-1.25%,$27.16 M,-20.20%
"1,017",KZA,KAZIA Therapeutics Ltd,$0.52,-0.025,-4.59%,$49.19 M,26.83%
767,KZR,Kalamazoo Resources Ltd,$0.79,-0.005,-0.63%,$101.01 M,338.89%
"2,183",LAM,Laramide Resources Ltd,$0.30,0,0.00%,$311.60 TH,0.00%
762,LAU,Lindsay Australia Ltd,$0.34,0,0.00%,$101.76 M,-2.86%
"1,171",LAW,Lawfinance Ltd,$0.04,0,0.00%,$35.77 M,-45.72%
"1,057",LBL,Laserbond Ltd,$0.48,-0.015,-3.06%,$45.32 M,-5.94%
"1,114",LBT,LBT Innovations Ltd,$0.17,-0.015,-8.11%,$40.04 M,30.77%
"1,875",LCD,Latitude Consolidated Ltd,$0.02,-0.001,-4.55%,$5.78 M,40.00%
"1,702",LCE,London City Equities Ltd,$0.43,0,0.00%,$9.75 M,-4.44%
"1,066",LCK,Leigh Creek Energy Ltd,$0.07,0.003,4.62%,$44.58 M,-73.33%
"1,589",LCL,Los Cerros Ltd,$0.05,0,0.00%,$13.25 M,-36.25%
"1,302",LCM,Logicamms Ltd,$0.13,0,0.00%,$26.13 M,-33.33%
"1,795",LCT,Living Cell Technologies Ltd,$0.01,0,0.00%,$7.43 M,-35.00%
"1,445",LCY,Legacy Iron Ore Ltd,$0.00,0,0.00%,$18.74 M,2.28%
420,LEG,Legend Mining Ltd,$0.14,0.005,3.70%,$353.50 M,337.50%
247,LEP,Ale Property Group,$4.82,-0.02,-0.41%,$943.61 M,-4.18%
"1,844",LER,Leaf Resources Ltd,$0.02,0,0.00%,$6.38 M,-44.66%
"1,310",LEX,Lefroy Exploration Ltd,$0.26,-0.015,-5.56%,$25.62 M,21.43%
"1,329",LGP,Little Green Pharma Ltd,$0.36,0.01,2.86%,$24.52 M,2.86%
"2,089",LGR,Lanka Graphite Ltd,$0.02,0,0.00%,$2.28 M,0.00%
"2,077",LHB,Lionhub Group Ltd,$0.00,0,0.00%,$2.48 M,-40.00%
"1,908",LHM,Land & Homes Group Ltd,$0.01,0,0.00%,$5.25 M,-44.44%
"2,067",LI3,Lithium Consolidated Ltd,$0.02,-0.001,-5.26%,$2.65 M,-65.63%
251,LIC,Lifestyle Communities Ltd,$8.78,-0.2,-2.23%,$917.91 M,29.88%
"1,735",LIN,Lindian Resources Ltd,$0.02,-0.002,-11.77%,$8.73 M,-6.25%
"2,007",LIO,Lion Energy Ltd,$0.02,0.003,21.43%,$3.53 M,-39.29%
"1,267",LIT,Lithium Australia NL,$0.05,0,0.00%,$29.06 M,0.00%
"2,173",LITCF,Lithium Australia NL,$0.01,0,0.00%,$692.40 TH,16.67%
"1,299",LKE,Lake Resources N.L.,$0.04,0.001,2.63%,$26.19 M,-56.18%
"1,199",LKO,Lakes Oil NL,$0.00,0,0.00%,$33.67 M,0.00%
55,LLC,Lendlease Group,$11.45,-0.23,-1.97%,$7.88 B,-20.71%
"1,453",LLO,Lion One Metals Ltd,$2.04,-0.06,-2.86%,$18.46 M,161.54%
439,LME,"Limeade, Inc",$1.35,-0.11,-7.53%,$329.54 M,-27.03%
"1,234",LMG,Latrobe Magnesium Ltd,$0.02,0,0.00%,$31.12 M,300.00%
"2,014",LML,Lincoln Minerals Ltd,$0.01,0,0.00%,$3.45 M,0.00%
"1,324",LNG,Liquefied Natural Gas Ltd,$0.04,0,0.00%,$24.80 M,-82.08%
143,LNK,Link Administration Holdings Ltd,$4.13,-0.11,-2.59%,$2.19 B,-19.02%
"1,369",LNU,Linius Technologies Ltd,$0.02,0.002,13.33%,$22.28 M,-63.04%
"1,300",LNY,Laneway Resources Ltd,$0.01,0,0.00%,$26.15 M,-12.50%
"1,269",LOM,Lucapa Diamond Company Ltd,$0.05,0,0.00%,$28.85 M,-69.91%
"1,068",LON,Longtable Group Ltd,$0.22,0.015,7.50%,$44.56 M,16.22%
"1,098",LOT,Lotus Resources Ltd,$0.06,-0.005,-7.46%,$41.68 M,57.03%
307,LOV,Lovisa Holdings Ltd,$6.40,0.01,0.16%,$687.74 M,-43.51%
"1,162",LPD,Lepidico Ltd,$0.01,0,0.00%,$36.30 M,-72.74%
"1,448",LPE,Locality Planning Energy Holdings Ltd,$0.37,0,0.00%,$18.58 M,-58.89%
"1,080",LPI,Lithium Power International Ltd,$0.17,-0.005,-2.94%,$43.40 M,-46.77%
943,LRK,Lark Distilling Co. Ltd,$1.09,0.065,6.34%,$59.35 M,-6.84%
"2,132",LRM,Lustrum Minerals Ltd,$0.05,0,0.00%,$1.57 M,-13.46%
"2,032",LRS,Latin Resources Ltd,$0.01,0,0.00%,$3.19 M,-68.00%
"1,283",LRT,Lowell Resources Fund,$1.00,-0.01,-0.99%,$27.35 M,135.29%
"1,744",LSA,Lachlan Star Ltd,$0.01,0,0.00%,$8.54 M,25.00%
268,LSF,L1 Long Short Fund Ltd,$1.26,-0.005,-0.40%,$816.58 M,-12.24%
"1,983",LSH,Lifespot Health Ltd,$0.04,-0.007,-14.89%,$3.87 M,-50.00%
"1,650",LSR,Lodestar Minerals Ltd,$0.01,0,0.00%,$11.09 M,62.50%
871,LSX,Lion Selection Group Ltd,$0.49,0.015,3.16%,$73.57 M,42.03%
